Espécie;Amostra;Local;Data;Clorofila;espessura.foliar;massa.turgida.foliar;area.foliar;massa.para.furar.g.;massa.seca.foliar;volume.ramo;peso.seco.ramo;comprimento.ramo;densidade.vasos;
Aniba firmula;2;PMSF;13/07/2016;61,4;0,122;0,658;44,0032;222,58;0,202;1,49;0,62;5,1;13,39730166;0,416107383
Aniba firmula;1;PMSF;13/07/2016;60,08;0,136;1,044;55,7828;215,73;0,394;4,74;1,9;5,2;3,789894766;0,400843882
Annona emarginata;3;Faxinal do Bepe;08/09/2016;42,82;0,112;0,456;21,0346;326,02;0,202;NA;1,25;4,9;NA;#VALOR!
Annona emarginata;2;Braço Paula Ramos;09/06/2016;64,76;0,156;0,51;39,6236;NA;0,21;0,09;0,05;4,5;30,75048284;0,555555556
Annona emarginata;5;Serra da leoa;12/09/2016;52,4;0,176;0,72;39,737;200,93;0,292;1,23;0,42;5,6;NA;0,341463415
Annona emarginata;4;Serra da leoa;12/09/2016;66,58;0,16;0,546;30,2158;226,14;0,19;1,48;0,44;5;NA;0,297297297
Annona emarginata;1;FURB;18/05/2016;55,3;0,124;1,28;92,64;153,6;0,398;1,7;0,4;5,4;NA;0,235294118
Annona neosericea;1;FURB;13/04/2016;53,6;0,12;0,432;34,0996;190,31;0,15;1,3;0,43;4,9;5,241735945;0,330769231
Annona neosericea;3;Spitz;16/04/2016;57,38;0,156;0,52;29,8322;328,82;0,168;0,57;0,18;5,2;9,582470514;0,315789474
Annona neosericea;5;Braço Paula Ramos;09/06/2016;63,18;0,166;1,54;78,1938;263,4;0,572;2,17;0,57;5,4;NA;0,262672811
Annona neosericea;4;FURB;02/05/2016;59,98;1,172;1,4;73,5008;232,59;0,5;2,03;0,52;5,1;NA;0,256157635
Annona neosericea;2;Spitz;16/04/2016;58,62;0,152;0,628;38,2742;211,28;0,192;0,57;0,12;5,2;4,644482471;0,210526316
Aparisthmium cordatum;2;PMSF;23/05/2016;57,36;0,142;3,558;203,2422;237,53;1,4;2,76;1,3;5,2;8,908877696;0,471014493
Aparisthmium cordatum;5;PMSF;23/05/2016;62,94;0,124;4,684;310,753;350,61;1,832;2,13;0,85;4,7;NA;0,399061033
Aparisthmium cordatum;4;PMSF;23/05/2016;57,4;0,112;4,564;375,4942;205,6;1,748;2,13;0,75;5,1;13,48925337;0,352112676
Aparisthmium cordatum;3;PMSF;23/05/2016;53,86;0,11;2,57;214,8844;271,04;0,922;1,08;0,35;NA;4,306001109;0,324074074
Aspidosperma australe;1;Spitz;16/04/2016;74,72;0,178;0,252;13,6806;225,46;0,076;0,34;0,28;4,5;NA;0,823529412
Aspidosperma australe;6;Praia Vermelha;09/20/2017;NA;0,122;0,238;12,1918;182,85;0,068;0,43;0,29;4,7;NA;0,674418605
Aspidosperma australe;5;PMSF;13/07/2016;66,48;0,108;0,288;16,4012;264,6;0,078;0,71;0,46;5,4;6,372430943;0,647887324
Aspidosperma australe;2;FURB;25/04/2016;65,76;0,155;0,192;9,5448;173,88;0,054;2,49;1,4;5,5;45,33060102;0,562248996
Aspidosperma australe;3;PMSF;06/06/2016;68,58;0,15;0,34;18,4728;237,54;0,096;3,38;1,88;5,5;NA;0,556213018
Aspidosperma australe;4;PMSF;06/06/2016;64,4;0,19;0,316;16,7384;298,53;0,092;3,21;1,77;5,1;NA;0,551401869
Aspidosperma parvifolium;3;Morro do Baú;12/12/2016;NA;0,18;0,45;22,7668;138,52;0,114;1,55;1,14;4,8;11,5336623;0,735483871
Aspidosperma parvifolium;4;Morro do Baú;12/12/2016;NA;0,126;0,286;16,233;250,84;0,084;1,61;1,16;NA;NA;0,720496894
Aspidosperma parvifolium;2;Morro do Baú;12/12/2016;NA;0,136;0,238;13,866;217;0,076;2,04;1,39;5,7;18,15939476;0,681372549
Aspidosperma parvifolium;1;Morro do Baú;12/12/2016;NA;0,168;0,42;26,0134;215,33;0,134;1,62;1,01;5,3;30,85415325;0,62345679
Aspidosperma tomentosum;2;Ipiranga;08/08/2016;55,06;0,15;0,698;48,0872;127,56;0,25;3,2;1,94;4,7;22,95458421;0,60625
Aspidosperma tomentosum;1;Ipiranga;08/08/2016;47;0,128;0,74;44,0154;97,48;0,212;1,5;0,88;5,2;NA;0,586666667
Aspidosperma tomentosum;5;FURB;16/03/2017;NA;0,18;1,432;38,3136;100,63;0,428;1,2;0,7;4,4;NA;0,583333333
Aspidosperma tomentosum;3;UA 803;02/03/2017;NA;0,126;0,498;31,5884;178;0,184;2,08;1,07;5,5;NA;0,514423077
Aspidosperma tomentosum;4;FURB;16/03/2017;NA;0,144;0,796;41,2726;132,33;0,218;0,8;0,36;4,9;NA;0,45
Bathysa australis;3;PMSF;23/05/2016;43,3;0,158;19,85;919,7926;166,87;3,738;NA;1,55;5,6;NA;#VALOR!
Bathysa australis;5;PMSF;13/07/2016;44,94;0,19;17,902;729,1202;239,09;4,17;5,62;1,41;5,3;NA;0,25088968
Bathysa australis;1;PMSF;23/05/2016;47,26;0,18;33,086;1400,1902;184,21;7,688;5,75;1,25;5,5;9,187212402;0,217391304
Bathysa australis;4;PMSF;06/06/2016;45,4;0,13;29,546;1481,5378;135,55;7,056;11,96;2,45;5,5;34,11047277;0,204849498
Bathysa australis;2;PMSF;23/05/2016;51,32;0,157;63,325;3044,55025;236,04;8,235;15,72;2,71;5,9;NA;0,172391858
Byrsonima ligustrifolia;2;Massaranduba;26/07/2016;58,18;0,278;0,932;33,6228;447,24;0,388;3;1,51;5,4;3,591230804;0,503333333
Byrsonima ligustrifolia;3;PMSF;24/08/2016;57,44;0,268;0,95;54,4608;337,23;0,348;1,77;0,88;4,9;13,53247606;0,497175141
Byrsonima ligustrifolia;5;Botuverá;17/02/2017;NA;0,262;0,394;NA;437,81;0,18;1,59;0,76;5;NA;0,477987421
Byrsonima ligustrifolia;4;Morro do Baú;12/12/2017;NA;0,232;0,91;41,9954;215,58;0,38;1,77;0,8;5,3;NA;0,451977401
Byrsonima ligustrifolia;1;PMSF;13/07/2016;54,84;0,212;1,336;67,384;318,93;0,432;1,17;0,46;5,3;NA;0,393162393
Cabralea canjerana;4;FURB;02/05/2016;NA;0,13;0,31;16,2242;299,2;0,112;5,11;1,78;5,3;NA;0,348336595
Cabralea canjerana;2;FURB;27/04/2016;78,62;0,236;1,49;45,2562;406;0,504;12,23;3,78;5,7;NA;0,309076043
Cabralea canjerana;5;Braço Paula Ramos;09/06/2016;66,28;0,21;1,032;53,6394;340,55;0,42;2,9;0,87;5,7;15,78489747;0,3
Cabralea canjerana;3;FURB;27/04/2016;66,5;0,174;0,87;39,6104;290,86;0,292;3,28;0,98;5;14,67770243;0,298780488
Cabralea canjerana;1;Spitz;16/04/2016;75;0,152;1,118;58,0968;324,37;0,352;2,95;0,88;5,7;NA;0,298305085
Calyptranthes tricona;1;Santa Terezinha;11/05/2017;NA;0,142;0,232;13,425;385,63;0,106;1,07;0,82;5;NA;0,76635514
Campomanesia reitziana;4;Praia Vermelha;09/02/2017;NA;0,188;0,628;24,3558;237,82;0,336;1,83;1,23;4,3;0,352896201;0,672131148
Campomanesia reitziana;3;Praia Vermelha;09/02/2017;NA;0,098;0,33;25,6592;174,27;0,138;1,58;0,94;4,3;2,876294679;0,594936709
Campomanesia reitziana;2;Braço Paula Ramos;09/06/2016;52,7;0,148;0,576;23,443;253,91;0,276;1,48;0,87;5,3;6,465685776;0,587837838
Campomanesia reitziana;5;Praia Vermelha;09/02/2017;NA;0,148;0,496;27,6422;261,17;0,19;0,85;0,48;4,5;NA;0,564705882
Campomanesia reitziana;1;Spitz;16/04/2016;48,58;0,122;1,02;48,1696;216,46;0,388;1,14;0,59;5;31,9303105;0,51754386
Casearia obliqua;3;Massaranduba;26/07/2016;63,4;0,07;0,114;9,9696;171,21;0,056;1,99;1,4;5,5;NA;0,703517588
Casearia obliqua;1;Massaranduba;26/07/2016;53,48;0,082;0,102;7,2046;122,38;0,048;2,35;1,61;5,1;8,423416619;0,685106383
Casearia obliqua;4;Massaranduba;26/07/2016;70,38;0,092;0,108;7,5668;179,86;0,05;1,79;1,13;4,8;17,74017831;0,631284916
Casearia obliqua;5;Morro do Baú;12/12/2017;NA;0,062;0,068;7,4492;128,91;0,022;1,2;0,75;5,6;NA;0,625
Casearia obliqua;2;Massaranduba;26/07/2016;59,4;0,112;0,18;12,8146;135,08;0,086;2,59;1,56;5,3;13,29716397;0,602316602
Casearia sylvestris;2;FURB;02/05/2016;69,98;0,174;0,43;19,3172;164,9;0,18;3,8;2,11;5,7;12,32805837;0,555263158
Casearia sylvestris;3;FURB;02/05/2016;NA;0,158;0,722;35,4622;176,94;0,23;1,36;0,75;5,1;NA;0,551470588
Casearia sylvestris;1;FURB;27/04/2016;72,88;0,132;0,61;32,41;289,59;0,228;2,43;1,24;5;NA;0,510288066
Casearia sylvestris;4;Braço Paula Ramos;09/06/2016;71,96;0,146;0,556;33,5558;NA;0,256;1,48;0,5;NA;3,3647197;0,337837838
Casearia sylvestris;5;Braço Paula Ramos;09/06/2016;61,66;0,15;0,598;31,313;277,64;0,232;1,02;0,34;5,9;NA;0,333333333
Cecropia glaziovii;3;FURB;13/04/2016;61,26;0,278;52,31;2838,5314;123,35;12,708;3,07;0,42;4,8;NA;0,136807818
Cecropia glaziovii;5;FURB;13/04/2016;59,88;0,28;63,242;3530,186;76,7;17,714;3,9;0,53;5,7;NA;0,135897436
Cecropia glaziovii;2;FURB;13/04/2016;54,92;0,258;72,93;4255,5602;140,96;21,396;5,21;0,69;5,8;NA;0,13243762
Cecropia glaziovii;1;FURB;13/04/2016;51,92;0,262;63,064;3303,4926;168,17;19,884;4,79;0,59;5,7;NA;0,123173278
Cecropia glaziovii;4;FURB;13/04/2016;55,56;0,222;31,672;2117,6456;86,05;8,094;2,47;0,3;5,2;NA;0,12145749
Chionanthus filiformis;2;Ipiranga;08/08/2016;64,92;0,2;0,978;42,9108;298,62;0,448;1,54;1,21;4,9;4,179685627;0,785714286
Chionanthus filiformis;4;UA 803;02/03/2017;NA;0,178;0,902;44,146;314,83;0,378;1,13;0,82;5,1;NA;0,725663717
Chionanthus filiformis;5;UA 803;02/03/2017;NA;0,184;0,884;40,768;364,73;0,368;0,97;0,67;4,7;NA;0,690721649
Chionanthus filiformis;3;Morro do Baú;12/12/2016;NA;0,168;0,544;31,1016;323,95;0,192;1,45;0,99;5,6;NA;0,682758621
Chionanthus filiformis;6;UA 803;02/03/2017;NA;0,218;0,988;37,246;474,14;0,438;5,84;3,36;5,2;NA;0,575342466
Chionanthus filiformis;1;PMSF;23/05/2016;68,84;0,232;0,494;18,8798;234,64;0,13;4,74;2,06;5,5;NA;0,434599156
Chrysophyllum inornatum;1;Ipiranga;08/08/2016;60,06;0,234;0,406;19,4482;574,16;0,142;1,59;0,95;4,6;10,78569817;0,597484277
Chrysophyllum inornatum;5;Praia Vermelha;09/02/2017;NA;0,21;0,284;12,2502;343,2;0,1;1,62;0,94;4,9;NA;0,580246914
Chrysophyllum inornatum;4;Praia Vermelha;09/02/2017;NA;0,172;0,244;11,9596;385,72;0,066;0,59;0,32;4,8;NA;0,542372881
Chrysophyllum inornatum;3;Praia Vermelha;09/02/2017;NA;0,178;0,28;11,78;376,71;0,082;0,94;0,5;5,3;NA;0,531914894
Clethra scabra;2;Spitz;16/04/2016;48,98;0,296;1,156;54,4554;317,68;0,462;1,73;0,68;5,3;79,12341903;0,393063584
Clethra scabra;1;Spitz;16/04/2016;54,28;0,362;0,978;41,5376;288,44;0,386;1,42;0,44;5,3;61,28986337;0,309859155
Clethra scabra;4;Spitz;16/04/2016;45,64;0,246;0,744;20,7088;337,03;0,286;1,32;0,4;5,6;19,52063463;0,303030303
Clethra scabra;3;Spitz;16/04/2016;45,98;0,284;0,688;29,8058;245,22;0,3;1,02;0,3;5,2;38,20689384;0,294117647
Clethra scabra;5;Spitz;16/04/2016;46,84;0,278;1,01;26,6268;333,05;0,388;0,89;0,24;4,2;NA;0,269662921
Clusia criuva;3;Braço Paula Ramos;09/06/2016;71,36;0,562;1,768;32,6154;734,84;0,464;1,22;0,84;5,5;4,618030423;0,68852459
Clusia criuva;5;Braço Paula Ramos;09/06/2016;53,8;0,536;2,008;36,6942;938;0,56;0,61;0,38;5,5;6,703311913;0,62295082
Clusia criuva;6;Praia Vermelha;09/02/2017;NA;0,53;1,974;35,2638;628,22;0,514;1,73;0,88;5;NA;0,50867052
Clusia criuva;2;Spitz;16/04/2016;72,64;0,638;1,168;29,8056;684,25;0,524;1,43;0,62;5,5;NA;0,433566434
Clusia criuva;4;Braço Paula Ramos;09/06/2016;70,62;0,584;3,534;59,4518;733,3;0,764;1,69;0,64;5,5;NA;0,378698225
Clusia criuva;1;Spitz;16/04/2016;60,66;0,582;1,484;25,4392;554,23;0,386;2,02;0,76;6;24,02853154;0,376237624
Copaifera trapezifolia;1;PMSF;23/05/2016;62,04;0,08;0,018;1,8354;174,08;0,006;3,36;2,11;4,9;8,118963218;0,62797619
Copaifera trapezifolia;5;Braço Paula Ramos;09/06/2016;NA;0,082;0,018;1,6598;NA;0,012;1,46;0,9;5,1;16,23650348;0,616438356
Copaifera trapezifolia;2;PMSF;06/06/2016;54,96;0,07;0,02;2,025;194,63;0,01;1,25;0,77;5,2;NA;0,616
Copaifera trapezifolia;4;Braço Paula Ramos;09/06/2016;52,76;0,074;0,014;1,23225;178,51;0,0075;1,24;0,67;5;16,02877197;0,540322581
Copaifera trapezifolia;3;Braço Paula Ramos;09/06/2016;70,7;0,148;0,06;1,8062;215,41;0,016;1,9;0,96;5;NA;0,505263158
Coussapoa microcarpa;2;Braço Paula Ramos;09/06/2016;56,86;0,294;0,67;22,2872;422,07;0,266;0,74;0,45;5,3;4,395043357;0,608108108
Coussapoa microcarpa;1;Spitz;16/04/2016;66,28;0,382;0,772;20,3356;751,44;0,274;1,35;0,78;4,9;NA;0,577777778
Coussapoa microcarpa;5;Praia Vermelha;09/02/2017;NA;0,348;1,048;30,3504;426,91;0,034;2,48;1,1;5,3;NA;0,443548387
Coussapoa microcarpa;3;Ipiranga;08/08/2016;58,54;0,278;1,904;77,319;370,9;0,636;3,48;1,27;5;3,678327817;0,364942529
Coussapoa microcarpa;4;Ipiranga;08/08/2016;57,92;0,262;1,178;38,9782;479,93;0,288;3,97;1,33;6;1,201865139;0,335012594
Coussarea contracta;2;Morro do Baú;12/12/2016;NA;0,23;1,162;50,5238;360,41;0,306;0,88;0,57;4,2;11,20102705;0,647727273
Coussarea contracta;3;Morro do Baú;12/12/2016;NA;0,238;0,686;22,0366;355,51;0,188;3,2;1,76;5,7;6,322434966;0,55
Coussarea contracta;1;Morro do Baú;12/12/2016;NA;0,194;0,866;41,4828;232,21;0,196;1,09;0,57;5;NA;0,52293578
Coussarea contracta;6;Praia Vermelha;09/02/2017;NA;0,176;0,438;17,58;302,05;0,114;1,7;0,76;5,1;NA;0,447058824
Coussarea contracta;5;Praia Vermelha;09/02/2017;NA;0,278;0,92;29,3608;322,98;0,204;1,31;0,52;5,2;NA;0,396946565
Coussarea contracta;4;Praia Vermelha;09/02/2017;NA;0,192;0,71;30,0852;357,77;0,17;0,35;0,1;4,9;6,912534706;0,285714286
Croton macrobothrys;3;Serra da Leoa;12/09/2016;59,84;0,102;0,43;35,6658;99,08;0,182;1,51;0,7;5;NA;0,463576159
Croton macrobothrys;1;Ipiranga;08/08/2016;46,14;0,12;0,37;22,895;49,5;0,114;1,63;0,59;4,4;NA;0,36196319
Croton macrobothrys;4;Serra da Leoa;12/09/2016;58,2;0,148;0,592;32,9674;118,66;0,208;2,64;0,9;5,3;NA;0,340909091
Croton macrobothrys;5;Serra da Leoa;12/09/2016;68,16;0,94;0,634;43,4942;115,11;0,218;1,96;0,55;4,6;1,08582898;0,280612245
