Espécie;Amostra;Local;Data;Clorofila;espessura.foliar;massa.turgida.foliar;area.foliar;massa.para.furar.g.;massa.seca.foliar;volume.ramo;peso.seco.ramo;comprimento.ramo;densidade.vasos;
Nectandra lanceolata;2;Curitiba;14/03/2017;NA;0,216;0,792;30,1612;376,17;0,354;1,47;0,67;5;NA;0,455782313
Nectandra lanceolata;5;Serra da Abelha;10/05/2017;NA;0,202;0,652;34,5654;167,97;0,268;1,88;0,82;5,1;NA;0,436170213
Nectandra lanceolata;4;Serra da Abelha;10/05/2017;NA;0,214;0,374;14,4612;231,57;0,152;1,08;0,43;5,1;NA;0,398148148
Nectandra lanceolata;3;Serra da Abelha;10/05/2017;NA;0,18;0,72;31,877;318,66;0,294;0,91;0,23;5;NA;0,252747253
Nectandra megapotamica;5;Praia Vermelha;09/02/2017;NA;0,14;0,44;21,7752;204,2;0,182;0,72;0,41;4,9;NA;0,569444444
Nectandra megapotamica;1;FURB;27/04/2016;54,64;0,13;0,194;11,7752;263,11;0,09;4,57;2,41;5,6;3,734270047;0,527352298
Nectandra megapotamica;2;FURB;02/05/2016;NA;0,13;0,312;20,744;280,15;0,122;1,72;0,89;5,4;3,848689127;0,51744186
Nectandra megapotamica;4;Serra da Leoa;12/09/2016;48,74;0,098;0,186;12,2678;234,11;0,078;1,53;0,7;5,3;3,582737162;0,45751634
Nectandra megapotamica;3;Braço Paula Ramos;09/06/2016;53,76;0,142;0,412;23,7624;318,51;0,182;0,29;0,11;4,9;5,678150064;0,379310345
Nectandra membranacea;2;Braço Paula Ramos;09/06/2016;47,36;0,098;1,116;79,9794;142,34;0,684;1,12;0,59;5,7;11,91916697;0,526785714
Nectandra membranacea;4;FURB;27/04/2016;54,78;0,14;0,846;47,6778;180,7;0,336;1,67;0,82;5;NA;0,491017964
Nectandra membranacea;1;FURB;25/04/2016;50,34;0,138;1,67;102,3342;275,92;0,692;2,34;0,92;4,7;15,91697268;0,393162393
Nectandra membranacea;3;FURB;25/04/2016;45,76;0,172;0,632;37,2152;197,37;0,244;2,09;0,81;5,2;NA;0,387559809
Nectandra membranacea;5;PMSF;06/06/2016;57,36;0,182;1,452;81,2592;230,72;0,38;1,26;0,41;5,3;NA;0,325396825
Nectandra oppositifolia;5;Braço Paula Ramos;09/06/2016;50,34;0,262;1,488;62,1262;429,78;0,736;1,2;0,59;5,6;24,55940856;0,491666667
Nectandra oppositifolia;4;FURB;02/05/2016;62;0,226;2,364;93,484;338,99;1,162;1,59;0,69;4,8;NA;0,433962264
Nectandra oppositifolia;3;FURB;02/05/2016;56,36;0,18;2,032;89,7574;277,09;0,852;5,35;2,24;5,3;22,46942552;0,418691589
Nectandra oppositifolia;1;FURB;25/04/2016;49,24;0,19;3,389;171,9464;271,56;1,444;1,94;0,81;4,8;NA;0,417525773
Nectandra oppositifolia;2;FURB;25/04/2016;62,2;0,194;3,882;201,623;299,21;1,62;4,15;1,28;5,8;2,728513318;0,308433735
Ocotea aciphylla;3;PMSF;29/06/2016;46,16;0,188;0,492;22,8396;263,81;0,236;1,45;0,84;5,4;6,054576674;0,579310345
Ocotea aciphylla;5;PMSF;21/09/2016;62,34;0,186;0,72;38,3646;264,85;0,302;1,77;0,86;4,7;NA;0,485875706
Ocotea aciphylla;1;PMSF;23/05/2016;58,78;0,174;0,91;46,8076;293,64;0,362;2,59;1,09;5,7;11,7947102;0,420849421
Ocotea aciphylla;2;PMSF;23/05/2016;59,24;0,182;0,762;39,7876;269,77;0,296;1,94;0,81;4,8;NA;0,417525773
Ocotea aciphylla;4;PMSF;13/07/2016;59,5;0,086;0,984;40,8322;311,68;0,312;1,39;0,45;5,7;NA;0,323741007
Ocotea bicolor;5;Tirolesa;21/02/2017;NA;0,162;0,134;NA;248,74;0,076;0,94;0,61;4,4;NA;0,64893617
Ocotea bicolor;4;Botuverá;17/02/2017;NA;0,188;0,196;NA;415,85;0,094;1,19;0,67;5,3;NA;0,56302521
Ocotea bicolor;2;Morro do Baú;12/12/2016;NA;0,206;0,216;9,605;368,58;0,1;0,97;0,53;5,7;NA;0,546391753
Ocotea bicolor;3;Morro do Baú;12/12/2016;NA;0,16;0,278;13,4984;240,81;0,124;1,6;0,64;6;NA;0,4
Ocotea bicolor;1;Morro do Baú;12/12/2016;NA;0,168;0,364;17,0256;315,42;0,152;3,62;1,31;5,3;NA;0,361878453
Ocotea catharinensis;2;PMSF;13/07/2016;65,88;0,11;0,382;25,4784;220,05;0,158;2,72;1,63;5,8;5,51817356;0,599264706
Ocotea catharinensis;5;Faxinal do Bepe;28/09/2016;67,76;0,124;0,344;26,511;251,15;0,15;0,92;0,54;4;14,78376412;0,586956522
Ocotea catharinensis;4;Massaranduba;26/07/2016;61,96;0,102;0,226;18,6826;200,81;0,106;2,96;1,7;5,7;4,645670284;0,574324324
Ocotea catharinensis;3;PMSF;13/07/2016;61,74;0,108;0,235;16,6458;289,51;0,094;2,43;1,39;5,8;0,419853146;0,572016461
Ocotea catharinensis;1;PMSF;06/04/2016;69;0,18;0,35;25,6746;227,97;0,158;1,81;0,93;5;NA;0,513812155
Ocotea elegans;1;FURB;02/05/2016;NA;0,135;0,348;20,8836;181,29;0,14;1,93;1,19;4,9;NA;0,616580311
Ocotea elegans;2;FURB;02/05/2016;NA;0,174;0,506;31,4038;203,76;0,218;2,81;1,59;4,8;NA;0,565836299
Ocotea elegans;3;PMSF;06/06/2016;68,26;0,128;0,2;12,7942;314,53;0,086;2,75;1,41;6,1;NA;0,512727273
Ocotea elegans;5;PMSF;21/09/2016;66,16;0,172;0,378;21,723;213,84;0,154;3,1;1,5;5,7;0,068357743;0,483870968
Ocotea elegans;4;PMSF;21/09/2016;64,62;0,178;0,564;31,0954;200,6;0,198;2,3;0,95;5,9;NA;0,413043478
Ocotea glaziovii;1;Faxinal do Bepe;28/09/2016;67,8;0,196;0,826;36,5248;361,22;0,388;2,61;1,43;4,5;22,56734371;0,54789272
Ocotea odorifera;6;Praia Vermelha;09/02/2017;NA;0,156;0,85;50,4756;280;0,298;1,26;0,86;5,1;NA;0,682539683
Ocotea odorifera;4;PMSF;24/08/2016;54,84;0,194;0,79;43,8134;285,38;0,342;1,82;1,16;5,4;9,199022369;0,637362637
Ocotea odorifera;5;Faxinal do Bepe;28/09/2016;62,42;0,186;1,266;62,1582;403,36;0,588;3,32;2,04;5,2;NA;0,614457831
Ocotea odorifera;3;PMSF;24/08/2016;60,92;0,198;1,332;72,8368;260,04;0,558;3,83;2,33;5;6,007682518;0,608355091
Ocotea odorifera;2;PMSF;13/07/2016;60,92;0,108;0,31;19,1994;236,8;0,134;2,02;1,1;5,4;4,173476641;0,544554455
Ocotea odorifera;1;Braço Paula Ramos;09/06/2016;63,96;0,172;0,58;38,6248;435,17;0,254;0,72;0,32;5,6;33,7595432;0,444444444
Ocotea puberula;5;Serra da Leoa;12/09/2016;58,88;0,174;0,6;31,5518;188,69;0,244;1,24;0,581;4,8;15,21852859;0,468548387
Ocotea puberula;2;Ipiranga;08/08/2016;63,76;0,164;1,014;61,7014;208,65;0,36;0,99;0,45;4,8;NA;0,454545455
Ocotea puberula;4;Serra da Leoa;12/09/2016;63,25;0,16;0,74;37,1842;245,8;0,29;2,02;0,9;5,1;3,233708474;0,445544554
Ocotea puberula;3;Serra da Leoa;12/09/2016;61,88;0,182;0,644;28,7462;192,25;0,282;3,7;1,57;5,2;9,840754578;0,424324324
Ocotea puberula;1;Ipiranga;08/08/2016;57,26;0,14;1,026;69,617;202,47;0,376;1,39;0,55;5,5;11,71177901;0,395683453
Ocotea pulchella;1;Morro do Baú;12/12/2016;NA;0,23;0,764;28,1694;387,79;0,316;2,35;1,68;4,8;6,037737674;0,714893617
Ocotea pulchra;1;Spitz;16/04/2016;54,5;0,206;0,48;22,0212;459,39;0,222;1,74;0,96;5,3;10,08892937;0,551724138
Ocotea pulchra;3;Botuverá;17/02/2017;NA;0,18;0,442;NA;419,94;0,154;1,02;0,52;5,1;NA;0,509803922
Ocotea pulchra;2;Spitz;16/04/2016;61,46;0,222;0,424;18,0988;302,81;0,198;0,7;0,29;5;5,742211748;0,414285714
Ocotea silvestris;2;PMSF;21/09/2016;65,5;0,136;NA;20,333;228,67;0,136;1,7;0,93;5;4,605223605;0,547058824
Ocotea silvestris;1;PMSF;23/05/2016;55,5;0,13;0,242;17,3312;237,19;0,09;7,48;3,5;5;NA;0,467914439
Ouratea vaccinioides;2;Botuverá;17/02/2017;NA;0,148;0,13;NA;408,73;0,058;2,24;1,53;5,2;NA;0,683035714
Ouratea vaccinioides;5;Botuverá;17/02/2017;NA;0,192;0,21;NA;368,3;0,094;2,38;1,52;5,3;10,11459623;0,638655462
Ouratea vaccinioides;4;Botuverá;17/02/2017;NA;0,23;0,282;NA;343,33;0,142;0,86;0,52;5,2;NA;0,604651163
Ouratea vaccinioides;3;Botuverá;17/02/2017;NA;0,196;0,336;NA;339,33;0,148;1,75;1;5,2;NA;0,571428571
Ouratea vaccinioides;1;Botuverá;17/02/2017;NA;0,284;0,54;NA;336,51;0,224;0,84;0,4;5,1;NA;0,476190476
Pera glabrata;3;Braço Paula Ramos;09/06/2016;64,04;0,282;1,478;58,0408;334,45;0,544;0,68;0,38;5,6;5,24683959;0,558823529
Pera glabrata;5;PMSF;13/07/2016;58,42;0,17;1,428;82,0564;367,9;0,484;0,91;0,5;4,9;11,74784356;0,549450549
Pera glabrata;2;FURB;25/04/2016;65,48;0,228;1,108;43,5456;323,81;0,41;2,65;1,38;5;NA;0,520754717
Pera glabrata;4;PMSF;13/07/2016;54,98;0,152;1,116;66,7746;264,8;0,322;1,11;0,56;5,3;NA;0,504504505
Pera glabrata;6;Praia Vermelha;09/02/2017;NA;0,242;0,716;25,4834;294,02;0,266;1,4;0,66;5,2;5,277274578;0,471428571
Pera glabrata;1;FURB;25/04/2016;64,82;0,25;1,544;66,5456;157,75;0,538;1,14;0,53;4,9;NA;0,464912281
Piptadenia paniculata;4;Blumenau;30/06/2017;54,44;0,04;0,03;2,8474;70,6;0,01;1,22;0,62;5,2;NA;0,508196721
Piptadenia paniculata;3;Tirolesa;21/02/2017;NA;0,092;0,03;2,0036;99,31;0,016;1,54;0,72;5;NA;0,467532468
Piptadenia paniculata;1;Tirolesa;21/02/2017;NA;0,086;0,022;2,0654;112,93;0,016;2,96;1,09;5,1;NA;0,368243243
Piptadenia paniculata;5;Blumenau;30/06/2017;59,42;0,094;0,032;1,9228;96,8;0,016;2,22;0,81;4,8;NA;0,364864865
Piptadenia paniculata;2;Tirolesa;21/02/2017;NA;0,082;0,034;2,4974;100,34;0,008;2,56;0,77;5;NA;0,30078125
Piptocarpha angustifolia;2;Serra da Leoa;12/09/2016;46,58;0,1;0,206;9,5832;119,76;0,08;3,13;1,31;5,5;NA;0,418530351
Piptocarpha angustifolia;1;Botuverá;17/02/2017;NA;0,114;0,14;NA;153,68;0,076;1,87;0,77;5,2;3,865033085;0,411764706
Piptocarpha angustifolia;3;Santa terezinha;11/05/2017;NA;0,1;0,08;10,181;382,13;0,046;1,32;0,49;5;NA;0,371212121
Piptocarpha axillaris;4;Ipiranga;08/08/2016;43,58;0,302;1,672;59,199;386,27;0,58;1,15;0,53;4,4;NA;0,460869565
Piptocarpha axillaris;3;Ipiranga;08/08/2016;55,72;0,23;4,242;159,9948;284,49;1,65;1,26;0,57;5;NA;0,452380952
Piptocarpha axillaris;5;Ipiranga;08/08/2016;60,68;0,324;1,836;81,4692;321,03;0,928;2,11;0,8;5;5,820805093;0,379146919
Piptocarpha axillaris;2;Massaranduba;26/07/2016;58,66;0,212;3,154;124,1518;194,95;1,018;5,67;1,72;6;2,383619377;0,30335097
Piptocarpha axillaris;1;FURB;18/05/2016;54,24;0,354;2,002;60,3544;364,49;0,648;3;0,78;4,8;NA;0,26
Piptocarpha regnellii;5;Serra da Leoa;12/09/2016;54,62;0,284;0,514;19,2662;353,46;0,228;1,56;0,88;5;2,346743728;0,564102564
Piptocarpha regnellii;4;Botuverá;17/02/2017;NA;0,262;0,26;NA;285,95;0,138;0,75;0,39;5,2;NA;0,52
Piptocarpha regnellii;3;Serra da Leoa;12/09/2016;54,6;0,244;0,268;10,0068;376,22;0,12;1,09;0,48;4,2;NA;0,440366972
Piptocarpha regnellii;1;Serra da Leoa;12/09/2016;54,68;0,24;0,31;12,636;333,9;0,15;1,72;0,75;5;NA;0,436046512
Piptocarpha regnellii;7;Botuverá;17/02/2017;NA;0,27;0,27;NA;435,03;0,118;1,97;0,84;5,3;NA;0,426395939
Piptocarpha regnellii;2;Serra da Leoa;12/09/2016;50,24;0,252;0,324;12,8618;269,31;0,144;4,49;1,79;5,5;NA;0,398663697
Piptocarpha regnellii;6;Botuverá;17/02/2017;NA;0,228;0,234;NA;395,82;0,098;1,4;0,34;5,3;NA;0,242857143
Platymiscium floribundum;4;Serra da Leoa ;12/09/2016;43,04;0,154;0,366;23,1892;290,27;0,128;1,86;1,23;5,6;NA;0,661290323
Platymiscium floribundum;3;Serra da Leoa ;12/09/2016;49,68;0,13;0,448;32,1086;220,01;0,132;1,8;1,08;5,2;2,329603015;0,6
Platymiscium floribundum;2;Massaranduba;26/07/2016;47,76;0,184;0,942;49,6394;287,61;0,3;2,26;1,3;5;6,939785822;0,575221239
Platymiscium floribundum;1;Massaranduba;26/07/2016;54,06;0,16;0,642;46,7312;363,86;0,23;1,81;1,02;4,8;2,124993258;0,563535912
Platymiscium floribundum;5;Praia vermelha;09/02/2017;NA;0,13;0,53;29,3602;254,14;0,13;0,63;0,23;5,1;NA;0,365079365
Podocarpus lambertii;1;Curitiba;14/03/2017;NA;0,116;0,096;10,673;323,29;0,044;1,24;0,64;5,1;NA;0,516129032
Podocarpus lambertii;2;Curitiba;14/03/2017;NA;0,11;0,064;5,762;NA;0,02;1,15;0,56;5,1;NA;0,486956522
Podocarpus lambertii;4;Curitiba;14/03/2017;NA;0,114;0,07;8,917;418,77;0,028;0,79;0,38;5,2;NA;0,481012658
Podocarpus lambertii;5;Curitiba;14/03/2017;NA;0,14;0,098;9,311;483,54;0,036;1,04;0,5;5;NA;0,480769231
Podocarpus lambertii;3;Curitiba;14/03/2017;NA;0,084;0,038;5,759;NA;0,014;0,77;0,36;3,5;NA;0,467532468
Posoqueria latifolia;1;Braço Paula Ramos;09/06/2016;73,46;0,348;1,898;56,4194;463,32;0,62;1,33;0,66;5;NA;0,496240602
Posoqueria latifolia;5;Massranduba;26/07/2016;70,22;0,336;2,516;71,8246;713,89;0,858;3,38;1,66;5,3;8,145204897;0,49112426
Posoqueria latifolia;3;PMSF;13/07/2016;64,62;0,16;1,26;49,5896;353,5;0,26;1,67;0,8;6;NA;0,479041916
Posoqueria latifolia;2;Braço Paula Ramos;09/06/2016;79,59;0,408;NA;79,6456;666,56;1,206;1,89;0,88;5,5;NA;0,465608466
Posoqueria latifolia;4;Massranduba;26/07/2016;74,84;0,384;2,822;75,2828;457,09;0,97;3,8;1,64;5,6;0,943498291;0,431578947
Psychotria vellosiana;5;Faxinal do Bepe;08/09/2016;67,98;0,158;0,214;7,4462;221,1;0,08;NA;1,18;5,2;NA;#VALOR!
Psychotria vellosiana;1;Spitz;16/04/2016;66;0,236;0,356;12,7486;292,86;0,094;0,86;0,38;5,8;NA;0,441860465
Psychotria vellosiana;3;FURB;27/04/2016;64,12;0,0166;0,456;23,3382;259,07;0,132;3,75;1,55;5,5;NA;0,413333333
Psychotria vellosiana;2;Spitz;16/04/2016;69,81;0,182;0,188;8,3504;236,68;0,052;0,8;0,33;5;NA;0,4125
Psychotria vellosiana;4;FURB;27/04/2016;60,74;0,136;0,464;27,223;157,48;0,096;2,84;1,04;4,9;NA;0,366197183
Schefflera angustissima;3;Morro do Baú;12/12/2016;NA;0,33;0,76;20,0066;391,07;0,254;3,45;1,73;5,6;NA;0,501449275
Schefflera angustissima;4;Morro do Baú;12/12/2016;NA;0,29;0,366;8,859;394,35;0,116;1,8;0,65;4,9;9,33103957;0,361111111
Schefflera angustissima;5;Morro do Baú;12/12/2016;NA;0,32;0,916;17,94375;413,28;0,268;2,03;0,68;4,7;NA;0,334975369
Schefflera angustissima;2;Serr da Leoa;12/09/2016;68,18;0,308;2,086;57,4276;486,19;0,764;12,31;3,82;6,4;NA;0,310316816
Schefflera angustissima;1;PMSF;09/06/2016;60,02;0,102;0,684;44,4002;292,4;0,16;4,86;1,22;5,4;NA;0,251028807
Sessea regnellii;4;Ipiranga;08/08/2016;53,42;0,122;2,09;112,5186;118,57;0,53;0,62;0,48;5;7,90236247;0,774193548
Sessea regnellii;1;Ipiranga;08/08/2016;47,8;0,118;4,136;203,8894;120,23;0,984;2,59;0,98;4,5;4,918081875;0,378378378
Sessea regnellii;2;Ipiranga;08/08/2016;45,14;0,07;1,98;116,2502;47,98;0,366;2,63;0,96;5,1;NA;0,365019011
Sessea regnellii;3;Ipiranga;08/08/2016;49,62;0,134;3,256;190,189;73,75;0,62;3,17;1,13;5,2;28,23222276;0,356466877
Sessea regnellii;5;Tirolesa;21/02/2017;NA;0,226;6,346;260,9688;101,17;1,456;2,94;0,82;5,3;NA;0,278911565
Sloanea guianensis;1;PMSF;06/04/2016;47,8;0,2;0,6;57,96;396,92;0,28;1,16;0,73;4,8;NA;0,629310345
Sloanea guianensis;4;FURB;02/05/2016;57,94;0,115;0,76;64,9222;360,67;0,358;2,59;1,5;4,9;NA;0,579150579
Sloanea guianensis;5;PMSF;23/05/2016;53,08;0,108;1,204;87,5244;402,95;0,494;1,41;0,77;4,8;NA;0,546099291
Sloanea guianensis;3;PMSF;06/04/2016;49;0,2;1,12;89,5424;385,15;0,564;1,32;0,66;5,8;NA;0,5
Sloanea guianensis;2;PMSF;06/04/2016;60,1;0,19;0,78;73,9412;332,95;0,38;3,05;1,41;5,7;6,107666157;0,462295082
Solanum sanctaecatharinae;4;Ipiranga;08/08/2016;55,08;0,078;0,166;13,9034;36,89;0,038;0,97;0,65;5;2,683309459;0,670103093
Solanum sanctaecatharinae;5;Ipiranga;08/08/2016;58,1;0,118;0,41;26,5234;104,42;0,112;1,1;0,7;5;NA;0,636363636
Solanum sanctaecatharinae;2;Ipiranga;08/08/2016;58,06;0,13;0,342;21,3158;70,38;0,09;1,75;0,81;5,1;4,192845447;0,462857143
Solanum sanctaecatharinae;3;Ipiranga;08/08/2016;61,24;0,138;0,508;34,5214;104,53;0,142;1,79;0,68;5;NA;0,379888268
Syagrus romanzoffiana;3;FURB;02/05/2016;65,84;0,19;4,944;184,0426;NA;2,636;8,35;4,18;5,6;NA;0,500598802
Syagrus romanzoffiana;1;FURB;13/04/2016;60,18;0,208;2,99;117,2378;NA;1,526;4,86;2,37;5,3;NA;0,487654321
Syagrus romanzoffiana;2;FURB;13/04/2016;67,76;0,296;8,11;226,712;NA;4,074;15,27;6,78;7,2;NA;0,444007859
Syagrus romanzoffiana;4;Santa Terezinha;11/05/2017;NA;0,234;5,98;180,169;716,03;2,938;8,35;3,48;5,2;NA;0,416766467
Symplocos tenuifolia;1;UA 803;14/03/2017;NA;0,1;0,15;8,0812;141,35;NA;1,11;NA;5,1;NA;#VALOR!
Symplocos tenuifolia;3;Santa Terezinha;10/05/2017;NA;0,168;0,292;14,4096;349,14;0,112;0,88;0,48;5;NA;0,545454545
Symplocos tenuifolia;2;Tirolesa;21/02/2017;NA;0,176;0,24;10,9188;281,61;0,088;1,73;0,82;5,1;NA;0,473988439
Symplocos tenuifolia;5;Santa Terezinha;12/05/2017;NA;0,144;0,124;5,9694;109,25;0,038;1,8;0,71;5;NA;0,394444444
Symplocos tenuifolia;4;Santa Terezinha;11/05/2017;NA;0,162;0,222;9,8744;177,4;0,07;1,6;0,62;5;NA;0,3875
Tapirira guianensis;3;FURB;02/05/2016;NA;0,138;0,734;38,3132;169,67;0,276;1,23;0,54;4,5;NA;0,43902439
Tapirira guianensis;1;FURB;02/05/2016;NA;0,178;0,706;28,7848;228,45;0,312;3,46;1,47;4,3;NA;0,424855491
Tapirira guianensis;4;FURB;02/05/2016;NA;0,176;0,996;39,3422;217,92;0,416;4,89;2,06;5;NA;0,421267894
Tapirira guianensis;6;Praia Vermelha;09/02/2017;NA;0,228;0,862;28,2128;185,21;0,324;3;1,22;5,7;6,861854311;0,406666667
Tapirira guianensis;5;FURB;02/05/2016;NA;0,152;0,666;36,673;199,02;0,244;3,36;1,31;5,2;NA;0,389880952
Tapirira guianensis;2;FURB;02/05/2016;NA;0,168;0,82;41,5856;197,46;0,328;4,7;1,77;5,1;NA;0,376595745
Tetrorchidium rubrivenium;1;Praia Vermelha;09/02/2017;NA;0,326;2,556;69,1694;227,78;0,612;1,68;0,64;5,1;NA;0,380952381
Tetrorchidium rubrivenium;5;Praia Vermelha;13/02/2017;NA;0,35;1,568;38,5826;139,12;0,404;1,3;0,41;5,3;NA;0,315384615
Tetrorchidium rubrivenium;3;Praia Vermelha;11/02/2017;NA;0,254;0,788;24,2124;314,7;0,14;1,6;0,4;5,3;NA;0,25
Tetrorchidium rubrivenium;2;Praia Vermelha;10/02/2017;NA;0,278;1,676;49,2532;274,21;0,32;4,09;0,88;5;NA;0,215158924
Tetrorchidium rubrivenium;4;Praia Vermelha;12/02/2017;NA;0,256;2,66;63,5284;192,53;0,488;5,03;0,94;5,9;NA;0,186878728
Vantanea compacta;1;Spitz;16/04/2016;64,58;0,318;0,51;15,5556;336,12;0,206;1,79;0,94;5,7;NA;0,525139665
Vernonanthura discolor;2;Ipiranga;08/08/2016;48,62;0,334;1,248;44,9736;328,61;0,466;1,42;0,76;5;3,323340264;0,535211268
Vernonanthura discolor;5;Faxinal do Bepe;06/09/2016;42,84;0,174;0,282;16,0926;414,59;0,156;4,03;1,99;5;NA;0,493796526
Vernonanthura discolor;3;Ipiranga;08/08/2016;61,54;0,312;2,768;60,4322;NA;0,576;1,41;0,57;4,9;NA;0,404255319
Vernonanthura discolor;4;Ipiranga;08/08/2016;62,18;0,234;1,456;99,0288;176,4;1,068;1,71;0,66;5;NA;0,385964912
Vernonanthura discolor;1;Braço Paula Ramos;09/06/2016;52,92;0,164;1,618;87,1318;146,44;0,628;1,64;0,48;5,1;NA;0,292682927
Vernonanthura montevidensis;3;Santa Terezinha;12/05/2017;NA;0,106;0,08;3,577;45,27;0,022;1,26;0,75;5,1;NA;0,595238095
Vernonanthura montevidensis;4;Santa Terezinha;13/05/2017;NA;0,18;0,056;1,9826;NA;0,02;3,52;1,8;5,1;NA;0,511363636
Vernonanthura montevidensis;5;Santa Terezinha;14/05/2017;NA;0,104;0,144;5,3876;113,89;0,03;2,05;0,8;5;NA;0,390243902
Vernonanthura montevidensis;2;Santa Terezinha;11/05/2017;NA;0,144;0,208;8,8174;145,49;0,092;0,92;0,35;5,1;NA;0,380434783
Vernonanthura montevidensis;1;Santa Terezinha;10/05/2017;67,27;0,108;0,098;4,7694;86,84;0,02;1,72;0,57;5;NA;0,331395349
Virola bicuhyba;2;PMSF;23/05/2016;65,46;0,156;0,982;43,0772;233,65;0,282;3,9;1,31;5;NA;0,335897436
Virola bicuhyba;4;PMSF;06/06/2016;66,62;0,16;0,97;51,1372;205,32;0,232;4,22;1,34;5,5;15,48829915;0,317535545
Virola bicuhyba;3;PMSF;06/06/2016;62,18;0,154;1,07;51,1004;192,35;0,23;0,81;0,24;5,3;16,02567533;0,296296296
Virola bicuhyba;1;PMSF;23/05/2016;67,28;0,178;1,396;60,9518;109,17;0,358;0,92;0,27;5,8;NA;0,293478261
Virola bicuhyba;5;PMSF;13/07/2016;NA;0,132;1,332;59,8922;259,42;0,334;3,37;0,93;5;2,624496709;0,275964392
Xylopia brasiliensis;1;FURB;25/04/2016;67,18;0,076;0,046;4,4334;86,68;0,018;0,85;0,46;5,4;NA;0,541176471
Xylopia brasiliensis;3;FURB;25/04/2016;61,77;0,088;0,04;3,7964;115,96;0,014;4,37;2,14;5,1;NA;0,489702517
Xylopia brasiliensis;4;FURB;27/04/2016;62,9;0,096;0,078;5,9924;106,76;0,03;1,05;0,47;5,3;16,36901085;0,447619048
Xylopia brasiliensis;5;PMSF;13/07/2016;59,04;0,066;0,05;4,7884;174,21;0,02;1,25;0,54;6;NA;0,432
Xylopia brasiliensis;2;FURB;25/04/2016;57,8;0,078;0,09;7,063;64,56;0,036;1,97;0,43;4,3;9,691332187;0,218274112
