"";"Nome";"Amostra";"Localidade";"Data";"Clorofila";"Espessura";"Massa.Foliar.Turgida";"Area.Foliar";"Massa.Para.Furar";"Massa.Foliar.seca";"Volume.Ramo";"Massa.Seca.Ramo";"Comprimento.Ramo";"Densidade.Vasos"
"101";"Vernonanthura discolor";1;"Braço Paula Ramos";2016-06-09;52,92;0,164;1,618;87,1318;146,44;0,628;1,64;0,48;5,1;NA
"102";"Heisteria silvianii";2;"FURB";2016-05-02;NA;0,172;1,598;87,0652;431,46;0,584;1,85;1,36;4,6;NA
"103";"Alchornea glandulosa";1;"FURB";2016-04-25;44,74;0,158;1,596;168,0646;190,06;0,764;3,4;1,27;4,9;1,745518225
"104";"Tetrorchidium rubrivenium";5;"Praia Vermelha";2017-02-13;NA;0,35;1,568;38,5826;139,12;0,404;1,3;0,41;5,3;NA
"105";"Pera glabrata";1;"FURB";2016-04-25;64,82;0,25;1,544;66,5456;157,75;0,538;1,14;0,53;4,9;NA
"106";"Annona neosericea";5;"Braço Paula Ramos";2016-06-09;63,18;0,166;1,54;78,1938;263,4;0,572;2,17;0,57;5,4;NA
"107";"Alchornea glandulosa";5;"Massaranduba";2016-07-26;44,44;0,114;1,528;128,7854;344,67;0,65;8,5;2,69;5,1;1,790354498
"108";"Alchornea triplinervia";4;"PMSF";2016-06-09;58,82;0,236;1,514;84,7466;314,74;0,674;2,11;0,75;5,7;NA
"109";"Cabralea canjerana";2;"FURB";2016-04-27;78,62;0,236;1,49;45,2562;406;0,504;12,23;3,78;5,7;NA
"110";"Nectandra oppositifolia";5;"Braço Paula Ramos";2016-06-09;50,34;0,262;1,488;62,1262;429,78;0,736;1,2;0,59;5,6;NA
"111";"Euterpe edulis";3;"PMSF";2016-06-29;60,66;0,094;1,488;102,8894;226,93;0,632;7,83;1,3;5,6;NA
"112";"Clusia criuva";1;"Spitzkopf";2016-04-16;60,66;0,582;1,484;25,4392;554,23;0,386;2,02;0,76;6;24,02853154
"113";"Esenbeckia grandiflora";2;"PMSF";2016-06-29;62,28;0,224;1,484;71,669;210,07;0,468;1,05;0,63;5,4;NA
"114";"Meliosma sellowii";4;"PMSF";2016-09-21;63,2;0,16;1,482;19,68;310,77;0,46;4,47;1,57;5,5;3,769507638
"115";"Aegiphila integrifolia";1;"Spitzkopf";2016-04-16;57,88;0,09;1,48;80,163;224,77;0,364;1,22;0,4;4,2;2,617122776
"116";"Alchornea triplinervia";1;"PMSF";2016-04-06;51,14;0,304;1,478;127,593;144,46;0,62;1,55;0,4;5,3;NA
"117";"Pera glabrata";3;"Braço Paula Ramos";2016-06-09;64,04;0,282;1,478;58,0408;334,45;0,544;0,68;0,38;5,6;5,24683959
"118";"Gochnatia polymorpha";5;"Rua Bahia, Blumenau";2016-09-16;54,7;0,362;1,474;51,9562;303,57;0,605;2,12;0,86;5,5;393921322,9
"119";"Hirtella hebeclada";3;"FURB";2016-05-02;60,84;0,349;1,466;67,2206;293,71;0,632;5,23;2,92;5,5;NA
"120";"Heisteria silvianii";3;"PMSF";2016-05-23;74,18;0,26;1,466;54,6904;633,45;0,64;1,28;0,84;5,6;31,5816347
"121";"Myrsine gardneriana";1;"Ipiranga";2016-08-08;50,9;0,362;1,462;40,9404;197,53;0,46;1,53;0,93;5;8,215753674
"122";"Vernonanthura discolor";4;"Ipiranga";2016-08-08;62,18;0,234;1,456;99,0288;176,4;1,068;1,71;0,66;5;NA
"123";"Nectandra membranacea";5;"PMSF";2016-06-06;57,36;0,182;1,452;81,2592;230,72;0,38;1,26;0,41;5,3;NA
"124";"Aspidosperma tomentosum";5;"FURB";2017-03-16;NA;0,18;1,432;38,3136;100,63;0,428;1,2;0,7;4,4;NA
"125";"Pera glabrata";5;"PMSF";2016-07-13;58,42;0,17;1,428;82,0564;367,9;0,484;0,91;0,5;4,9;11,74784356
"126";"Annona neosericea";4;"FURB";2016-05-02;59,98;1,172;1,4;73,5008;232,59;0,5;2,03;0,52;5,1;NA
"127";"Virola bicuhyba";1;"PMSF";2016-05-23;67,28;0,178;1,396;60,9518;109,17;0,358;0,92;0,27;5,8;NA
"128";"Myrsine gardneriana";2;"Ipiranga";2016-08-08;53,84;0,282;1,386;47,3268;181,5;0,43;1,28;0,61;5;8,171531067
"129";"Alchornea triplinervia";2;"FURB";2016-04-25;51,4;0,192;1,354;83,2498;256,23;0,548;1,8;0,69;5,3;NA
"130";"Amaioua guianensis";1;"PMSF";2016-06-06;54,08;0,188;1,34;79,1988;292,69;0,532;2,85;1,5;5,9;5,976353178
"131";"Byrsonima ligustrifolia";1;"PMSF";2016-07-13;54,84;0,212;1,336;67,384;318,93;0,432;1,17;0,46;5,3;NA
"132";"Virola bicuhyba";5;"PMSF";2016-07-13;NA;0,132;1,332;59,8922;259,42;0,334;3,37;0,93;5;NA
"133";"Ocotea odorifera";3;"PMSF";2016-08-24;60,92;0,198;1,332;72,8368;260,04;0,558;3,83;2,33;5;NA
"134";"Endlicheria paniculata";1;"FURB";2016-04-25;61,42;0,212;1,312;71,2486;274,45;0,43;1,47;0,35;5;NA
"135";"Hirtella hebeclada";5;"PMSF";2016-05-23;59,28;0,104;1,308;62,1714;261,19;0,428;2,05;1,24;5,3;NA
"136";"Myrcia catharinensis";5;"FURB";2017-05-28;NA;0,23;1,296;NA;474,87;0,452;1,87;1,13;5,4;NA
"137";"Aparisthmium cordatum";1;"PMSF";2016-05-23;54,5;0,08;1,294;374,9508;250,41;1,596;2,05;0,84;4,8;NA
"138";"Annona emarginata";1;"FURB";2016-05-18;55,3;0,124;1,28;92,64;153,6;0,398;1,7;0,4;5,4;NA
"139";"Ocotea odorifera";5;"Faxinal do Bepe";2016-09-28;62,42;0,186;1,266;62,1582;403,36;0,588;3,32;2,04;5,2;NA
"140";"Posoqueria latifolia";3;"PMSF";2016-07-13;64,62;0,16;1,26;49,5896;353,5;0,26;1,67;0,8;6;NA
"141";"Gochnatia polymorpha";2;"Rua Bahia, Blumenau";2016-09-13;56,58;0,336;1,25;42,986;240,12;0,496;1,52;0,86;5,9;6,003201466
"142";"Vernonanthura discolor";2;"Ipiranga";2016-08-08;48,62;0,334;1,248;44,9736;328,61;0,466;1,42;0,76;5;NA
"143";"Myrcia catharinensis";3;"FURB";2017-05-26;NA;0,17;1,248;NA;419,95;0,382;1,75;1,08;5,2;NA
"144";"Endlicheria paniculata";2;"Massaranduba";2016-07-26;68,3;0,19;1,24;61,228;142,39;0,49;2,47;1,24;5,4;14,06514218
"145";"Guapira opposita";3;"FURB";2016-04-25;61,94;0,346;1,228;40,5424;284,2;0,224;1,46;0,61;5,3;NA
"146";"Esenbeckia grandiflora";5;"PMSF";2016-09-21;69,16;0,218;1,21;60,4648;268,23;0,486;1,25;0,89;NA;NA
"147";"Meliosma sellowii";3;"PMSF";2016-09-21;54,08;0,176;1,21;68,0806;312,15;0,332;NA;1,68;5;3,586298926
"148";"Guapira opposita";5;"FURB";2016-05-02;NA;0,356;1,204;33,7982;398,58;0,244;1,26;0,55;4,7;NA
"149";"Sloanea guianensis";5;"PMSF";2016-05-23;53,08;0,108;1,204;87,5244;402,95;0,494;1,41;0,77;4,8;NA
"150";"Cryptocarya mandioccana";1;"Massaranduba";2016-07-26;64,16;0,194;1,202;58,738;251,92;0,462;2,83;1,4;5,5;4,942501674
"151";"Miconia cinnamomifolia";5;"Faxinal do Bepe";2016-09-06;69,5;0,02;1,188;41,2962;241,28;0,458;6,46;3,79;5,9;NA
"152";"Coussapoa microcarpa";4;"Ipiranga";2016-08-09;57,92;0,262;1,178;38,9782;479,93;0,288;3,97;1,33;6;1,201865139
"153";"Clusia criuva";2;"Spitzkopf";2016-04-16;72,64;0,638;1,168;29,8056;684,25;0,524;1,43;0,62;5,5;NA
"154";"Coussarea contracta";2;"Morro do Baú";2016-12-12;NA;0,23;1,162;50,5238;360,41;0,306;0,88;0,57;4,2;NA
"155";"Guapira opposita";4;"FURB";2016-04-25;64,14;0,334;1,158;38,5544;249,55;0,226;1,24;0,52;4,6;NA
"156";"Clethra scabra";2;"Spitzkopf";2016-04-16;48,98;0,296;1,156;54,4554;317,68;0,462;1,73;0,68;5,3;79,12341903
"157";"Matayba intermedia";4;"FURB";2016-04-13;62,86;0,29;1,148;44,5238;584,54;0,05;2,71;1,46;5,1;NA
"158";"Euterpe edulis";1;"PMSF";2016-06-29;70,1;0,092;1,14;82,331;327,06;0,494;3,89;0,69;4,5;NA
"159";"Myrcia brasiliensis";1;"Spitzkopf";2016-04-16;60,18;0,3;1,128;40,1272;365,18;0,436;0,47;0,29;4,5;NA
"160";"Sloanea guianensis";3;"PMSF";2016-04-06;49;0,2;1,12;89,5424;385,15;0,564;1,32;0,66;5,8;NA
"161";"Cabralea canjerana";1;"Spitzkopf";2016-04-16;75;0,152;1,118;58,0968;324,37;0,352;2,95;0,88;5,7;NA
"162";"Nectandra membranacea";2;"Braço Paula Ramos";2016-06-09;47,36;0,098;1,116;79,9794;142,34;0,684;1,12;0,59;5,7;11,91916697
"163";"Pera glabrata";4;"PMSF";2016-07-13;54,98;0,152;1,116;66,7746;264,8;0,322;1,11;0,56;5,3;NA
"164";"Pera glabrata";2;"FURB";2016-04-25;65,48;0,228;1,108;43,5456;323,81;0,41;2,65;1,38;5;NA
"165";"Heisteria silvianii";5;"Braço Paula Ramos";2016-06-09;65,62;0,296;1,102;37,2574;1164,75;0,482;0,83;0,5;5,9;NA
"166";"Euterpe edulis";4;"PMSF";2016-06-29;62,7;0,62;1,094;80,3268;115,93;0,402;4,24;0,85;5,4;NA
"167";"Aniba firmula";3;"Massaranduba";2016-07-26;60,46;0,172;1,094;57,2906;242,24;0,408;2,76;1,45;5,5;4,68252712
"168";"Hovenia dulcis";5;"FURB";2017-03-16;NA;0,14;1,09;56,6034;91,66;0,342;5,63;2,99;5;NA
"169";"Virola bicuhyba";3;"PMSF";2016-06-06;62,18;0,154;1,07;51,1004;192,35;0,23;0,81;0,24;5,3;16,02567533
"170";"Myrcia brasiliensis";2;"Praia Vermelha";2017-02-09;NA;0,34;1,07;30,5988;314,46;0,36;2,62;1,3;5;NA
"171";"Cryptocarya aschersoniana";4;"PMSF";2016-06-29;62,32;0,172;1,066;NA;338,89;0,456;1,85;0,85;5;NA
"172";"Ilex theezans";5;"Morro do Baú";2016-12-12;NA;0,486;1,048;20,86;370,99;0,332;1,76;0,76;5;NA
"173";"Coussapoa microcarpa";5;"Praia Vermelha";2017-02-09;NA;0,348;1,048;30,3504;426,91;0,034;2,48;1,1;5,3;NA
"174";"Aniba firmula";1;"PMSF";2016-07-13;60,08;0,136;1,044;55,7828;215,73;0,394;4,74;1,9;5,2;3,789894766
"175";"Myrcia hebepetala";5;"Praia Vermelha";2017-02-10;NA;0,234;1,04;52,947;249,99;0,278;1,95;1,12;4,1;NA
"176";"Allophylus petiolulatus";2;"FURB";2017-05-25;NA;0,12;1,04;NA;169,04;0,366;1,14;0,4;5;NA
"177";"Cabralea canjerana";5;"Braço Paula Ramos";2016-06-09;66,28;0,21;1,032;53,6394;340,55;0,42;2,9;0,87;5,7;15,78489747
"178";"Ocotea puberula";1;"Ipiranga";2016-08-08;57,26;0,14;1,026;69,617;202,47;0,376;1,39;0,55;5,5;11,71177901
"179";"Campomanesia reitziana";1;"Spitzkopf";2016-04-16;48,58;0,122;1,02;48,1696;216,46;0,388;1,14;0,59;5;31,9303105
"180";"Ocotea puberula";2;"Ipiranga";2016-08-08;63,76;0,164;1,014;61,7014;208,65;0,36;0,99;0,45;4,8;NA
"181";"Clethra scabra";5;"Spitzkopf";2016-04-16;46,84;0,278;1,01;26,6268;333,05;0,388;0,89;0,24;4,2;NA
"182";"Esenbeckia grandiflora";3;"PMSF";2016-07-13;70,28;0,154;1;46,2218;393,83;0,298;1,02;0,56;5,5;NA
"183";"Tapirira guianensis";4;"FURB";2016-05-02;NA;0,176;0,996;39,3422;217,92;0,416;4,89;2,06;5;NA
"184";"Cryptocarya mandioccana";4;"Massaranduba";2016-07-26;60,22;0,168;0,994;55,0404;214,91;0,384;3,23;1,46;4,3;5,132595278
"185";"Ilex theezans";6;"Praia Vermelha";2017-02-09;NA;0,384;0,99;23,9648;492,07;0,422;2,07;1,01;5,3;NA
"186";"Chionanthus filiformis";6;"UA 803";2017-03-02;NA;0,218;0,988;37,246;474,14;0,438;5,84;3,36;5,2;NA
"187";"Ocotea aciphylla";4;"PMSF";2016-07-13;59,5;0,086;0,984;40,8322;311,68;0,312;1,39;0,45;5,7;NA
"188";"Virola bicuhyba";2;"PMSF";2016-05-23;65,46;0,156;0,982;43,0772;233,65;0,282;3,9;1,31;5;NA
"189";"Clethra scabra";1;"Spitzkopf";2016-04-16;54,28;0,362;0,978;41,5376;288,44;0,386;1,42;0,44;5,3;61,28986337
"190";"Meliosma sellowii";1;"Massaranduba";2016-07-26;63,88;0,19;0,978;50,5994;281,07;0,306;4,45;1,58;5,1;NA
"191";"Chionanthus filiformis";2;"Ipiranga";2016-08-08;64,92;0,2;0,978;42,9108;298,62;0,448;1,54;1,21;4,9;4,179685627
"192";"Myrcia brasiliensis";4;"Praia Vermelha";2017-02-09;NA;0,234;0,978;40,0414;313,5;0,264;1,59;0,93;5;NA
"193";"Daphnopsis fasciculata";3;"Serra da Leoa";2016-09-12;69,64;0,324;0,976;28,3994;857,21;0,31;1,77;0,68;5,3;26,93168187
"194";"Cryptocarya mandioccana";3;"Massaranduba";2016-07-26;56,5;0,168;0,974;47,3622;396,01;0,432;2,48;1,18;5;6,710678814
"195";"Virola bicuhyba";4;"PMSF";2016-06-06;66,62;0,16;0,97;51,1372;205,32;0,232;4,22;1,34;5,5;15,48829915
"196";"Meliosma sellowii";2;"PMSF";2016-09-21;61,82;0,138;0,964;63,0526;212,23;0,278;5,32;1,91;5,2;4,299711528
"197";"Byrsonima ligustrifolia";3;"PMSF";2016-08-24;57,44;0,268;0,95;54,4608;337,23;0,348;1,77;0,88;4,9;13,53247606
"198";"Platymiscium floribundum";2;"Massaranduba";2016-07-26;47,76;0,184;0,942;49,6394;287,61;0,3;2,26;1,3;5;6,939785822
"199";"Andira fraxinifolia";4;"PMSF";2016-05-23;46,44;0,132;0,94;58,7318;283,6;0,33;3,61;2,09;4,2;NA
