"";"Nome";"Amostra";"Localidade";"Data";"Clorofila";"Espessura";"Massa.Foliar.Turgida";"Area.Foliar";"Massa.Para.Furar";"Massa.Foliar.seca";"Volume.Ramo";"Massa.Seca.Ramo";"Comprimento.Ramo";"Densidade.Vasos"
"424";"Machaerium brasiliense";4;"Tirolesa";2017-02-21;NA;0,178;0,28;17,8204;237,83;0,126;1,37;0,68;4,9;NA
"425";"Cyathea gardneri";2;"Serra da Leoa";2016-09-12;NA;0,126;0,278;11,9366;85,99;0,07;3,86;0,67;5,2;NA
"426";"Ocotea bicolor";3;"Morro do Baú";2016-12-12;NA;0,16;0,278;13,4984;240,81;0,124;1,6;0,64;6;NA
"427";"Matayba elaeagnoides";2;"Curitiba";2017-03-15;NA;0,208;0,278;78,7;328,21;0,15;2,56;1,22;5,1;NA
"428";"Allophylus edulis";1;"FURB";2016-04-27;48,14;0,152;0,272;12,869;208,59;0,126;1,68;1,69;5,6;NA
"429";"Cyathea corcovadensis";1;"PMSF";2016-04-06;62,7;0,23;0,27;12,704;213,37;0,094;7,64;1,37;8,9;NA
"430";"Piptocarpha regnellii";7;"Botuverá";2017-02-17;NA;0,27;0,27;NA;435,03;0,118;1,97;0,84;5,3;NA
"431";"Andira fraxinifolia";1;"FURB";2016-04-13;53,18;0,17;0,268;19,9928;213,83;0,104;2,41;1,09;3,4;8,898810665
"432";"Piptocarpha regnellii";3;"Serra da Leoa";2016-09-12;54,6;0,244;0,268;10,0068;376,22;0,12;1,09;0,48;4,2;NA
"433";"Cyathea gardneri";3;"Serra da Leoa";2016-09-12;NA;0,09;0,262;12,48;36,8;0,076;3,32;0,51;4,6;NA
"434";"Cyathea delgadii";4;"Ipiranga";2016-08-08;NA;0,074;0,26;15,3836;15,26;0,144;4,54;0,98;4,6;NA
"435";"Piptocarpha regnellii";4;"Botuverá";2017-02-17;NA;0,262;0,26;NA;285,95;0,138;0,75;0,39;5,2;NA
"436";"Aspidosperma australe";1;"Spitzkopf";2016-04-16;74,72;0,178;0,252;13,6806;225,46;0,076;0,34;0,28;4,5;NA
"437";"Chrysophyllum inornatum";4;"Praia Vermelha";2017-02-09;NA;0,172;0,244;11,9596;385,72;0,066;0,59;0,32;4,8;NA
"438";"Ocotea silvestris";1;"PMSF";2016-05-23;55,5;0,13;0,242;17,3312;237,19;0,09;7,48;3,5;5;NA
"439";"Symplocos tenuifolia";2;"Tirolesa";2017-02-21;NA;0,176;0,24;10,9188;281,61;0,088;1,73;0,82;5,1;NA
"440";"Aspidosperma parvifolium";2;"Morro do Baú";2016-12-12;NA;0,136;0,238;13,866;217;0,076;2,04;1,39;5,7;NA
"441";"Aspidosperma australe";6;"Praia Vermelha";2017-02-09;NA;0,122;0,238;12,1918;182,85;0,068;0,43;0,29;4,7;NA
"442";"Inga marginata";3;"FURB";2017-05-26;NA;0,118;0,238;NA;188,2;0,088;1,38;0,88;5,1;NA
"443";"Ocotea catharinensis";3;"PMSF";2016-07-13;61,74;0,108;0,235;16,6458;289,51;0,094;2,43;1,39;5,8;0,419853146
"444";"Myrsine coriacea";3;"Braço Paula Ramos";2016-06-09;56,9;0,176;0,234;9,546;229,58;0,086;2,14;1,13;4,9;NA
"445";"Piptocarpha regnellii";6;"Botuverá";2017-02-17;NA;0,228;0,234;NA;395,82;0,098;1,4;0,34;5,3;NA
"446";"Calyptranthes tricona";1;"Santa Terezinha";2017-05-11;NA;0,142;0,232;NA;385,63;0,106;1,07;0,82;5;NA
"447";"Andira fraxinifolia";5;"Braço Paula Ramos";2016-06-09;44,94;0,14;0,23;13,7898;312,61;0,12;0,42;0,2;4,9;46,07035276
"448";"Ocotea catharinensis";4;"Massaranduba";2016-07-26;61,96;0,102;0,226;18,6826;200,81;0,106;2,96;1,7;5,7;4,645670284
"449";"Symplocos tenuifolia";4;"Santa Terezinha";2017-05-11;NA;0,162;0,222;NA;177,4;0,07;1,6;0,62;5;NA
"450";"Cyathea delgadii";5;"Ipiranga";2016-08-08;50,85;0,096;0,216;13,0142;15,26;0,068;4,07;0,75;4,8;NA
"451";"Ocotea bicolor";2;"Morro do Baú";2016-12-12;NA;0,206;0,216;9,605;368,58;0,1;0,97;0,53;5,7;NA
"452";"Psychotria vellosiana";5;"Faxinal do Bepe";2016-09-08;67,98;0,158;0,214;7,4462;221,1;0,08;NA;1,18;5,2;NA
"453";"Ouratea vaccinioides";5;"Botuverá";2017-02-17;NA;0,192;0,21;NA;368,3;0,094;2,38;1,52;5,3;NA
"454";"Vernonanthura montevidensis";2;"Santa Terezinha";2017-05-11;NA;0,144;0,208;NA;145,49;0,092;0,92;0,35;5,1;NA
"455";"Piptocarpha angustifolia";2;"Serra da Leoa";2016-09-12;46,58;0,1;0,206;9,5832;119,76;0,08;3,13;1,31;5,5;NA
"456";"Ocotea elegans";3;"PMSF";2016-06-06;68,26;0,128;0,2;12,7942;314,53;0,086;2,75;1,41;6,1;NA
"457";"Ocotea bicolor";4;"Botuverá";2017-02-17;NA;0,188;0,196;NA;415,85;0,094;1,19;0,67;5,3;NA
"458";"Nectandra megapotamica";1;"FURB";2016-04-27;54,64;0,13;0,194;11,7752;263,11;0,09;4,57;2,41;5,6;NA
"459";"Aspidosperma australe";2;"FURB";2016-04-25;65,76;0,155;0,192;9,5448;173,88;0,054;2,49;1,4;5,5;45,33060102
"460";"Cyathea gardneri";5;"Serra da Leoa";2016-09-12;NA;0,1;0,19;10,9986;47,25;0,052;2,76;0,47;4,9;NA
"461";"Psychotria vellosiana";2;"Spitzkopf";2016-04-16;69,81;0,182;0,188;8,3504;236,68;0,052;0,8;0,33;5;NA
"462";"Lonchocarpus campestris";2;"Massaranduba";2016-07-26;54,96;0,116;0,188;12,021;248,24;0,08;5,13;2,79;4,7;7,123013569
"463";"Guatteria australis";1;"Spitzkopf";2016-04-16;74,62;0,152;0,186;9,2186;407,41;0,068;0,46;0,2;5;NA
"464";"Nectandra megapotamica";4;"Serra da Leoa";2016-09-12;48,74;0,098;0,186;12,2678;234,11;0,078;1,53;0,7;5,3;NA
"465";"Casearia obliqua";2;"Massaranduba";2016-07-26;59,4;0,112;0,18;12,8146;135,08;0,086;2,59;1,56;5,3;13,29716397
"466";"Alsophila setosa";4;"Morro do Baú";2016-12-12;NA;0,065;0,176;9,789;42,7;0,052;3;0,56;4,6;NA
"467";"Cyathea delgadii";2;"PMSF";2016-05-23;42,06;0,076;0,166;12,9252;114,27;0,048;7,14;1,2;5;NA
"468";"Solanum sanctaecatharinae";4;"Ipiranga";2016-08-08;55,08;0,078;0,166;13,9034;36,89;0,038;0,97;0,65;5;NA
"469";"Cyathea phalerata";4;"Morro do Baú";2016-12-12;NA;0,076;0,164;8,9174;50,89;0,048;2,88;0,49;5;NA
"470";"Alsophila setosa";3;"Morro do Baú";2016-12-12;NA;0,06;0,16;8,2032;28,57;0,062;4,55;0,84;4,4;NA
"471";"Cyathea phalerata";3;"Morro do Baú";2016-12-12;NA;0,068;0,156;10,4994;27,87;0,036;1,95;0,34;4,5;NA
"472";"Cyathea phalerata";2;"Morro do Baú";2016-12-12;NA;0,086;0,154;9,8692;33,86;0,056;1,84;0,62;4,4;NA
"473";"Symplocos tenuifolia";1;"UA 803";2017-03-14;NA;0,1;0,15;8,0812;141,35;NA;1,11;NA;5,1;NA
"474";"Alsophila setosa";2;"Morro do Baú";2016-12-12;NA;0,08;0,148;6,7532;34,55;0,058;2,65;0,58;4,3;NA
"475";"Alsophila setosa";1;"Morro do Baú";2016-12-12;NA;0,086;0,146;8,335;NA;0,05;6,18;0,96;5;NA
"476";"Vernonanthura montevidensis";5;"Santa Terezinha";2017-05-14;NA;0,104;0,144;NA;113,89;0,03;2,05;0,8;5;NA
"477";"Piptocarpha angustifolia";1;"Botuverá";2017-02-17;NA;0,114;0,14;NA;153,68;0,076;1,87;0,77;5,2;NA
"478";"Ocotea bicolor";5;"Tirolesa";2017-02-21;NA;0,162;0,134;NA;248,74;0,076;0,94;0,61;4,4;NA
"479";"Ouratea vaccinioides";2;"Botuverá";2017-02-17;NA;0,148;0,13;NA;408,73;0,058;2,24;1,53;5,2;NA
"480";"Dicksonia sellowiana";2;"Serra da Leoa";2016-09-12;NA;0,092;0,128;8,1504;38,35;0,054;1,77;0,37;4,4;NA
"481";"Ilex dumosa";3;"Santa Terezinha";2017-05-10;55,58;0,166;0,128;NA;298,57;0,054;1,37;0,57;4,9;NA
"482";"Cyathea delgadii";1;"FURB";2016-04-25;48,52;0,009;0,126;10,305;NA;0,038;8,87;1,45;5,5;NA
"483";"Symplocos tenuifolia";5;"Santa Terezinha";2017-05-12;NA;0,144;0,124;NA;109,25;0,038;1,8;0,71;5;NA
"484";"Cyathea delgadii";3;"PMSF";2016-05-23;18,64;0,066;0,122;11,2644;159,05;0,032;4,4;0,58;5,5;NA
"485";"Albizia edwallii";1;"Santa Terezinha";2017-05-11;NA;0,124;0,12;NA;42,18;0,0037;2,46;0,91;4,8;NA
"486";"Ilex dumosa";1;"Santa Terezinha";2017-05-10;74,2;0,206;0,118;NA;309,16;0,05;1,96;0,59;5,2;NA
"487";"Myrceugenia seriatoramosa";2;"Botuverá";2017-02-17;NA;0,174;0,116;NA;316,01;0,05;1,33;0,89;5,1;NA
"488";"Casearia obliqua";3;"Massaranduba";2016-07-26;63,4;0,07;0,114;9,9696;171,21;0,056;1,99;1,4;5,5;NA
"489";"Jacaranda puberula";1;"Ipiranga";2016-08-08;54,76;0,078;0,112;7,0776;67,66;0,042;3,11;1,14;5,1;1,363358355
"490";"Jacaranda puberula";3;"UA 803";2017-03-14;NA;0,12;0,11;5,372;155,26;0,042;1,33;0,49;5,3;NA
"491";"Casearia obliqua";4;"Massaranduba";2016-07-26;70,38;0,092;0,108;7,5668;179,86;0,05;1,79;1,13;4,8;NA
"492";"Jacaranda puberula";5;"UA 803";2017-03-14;NA;0,11;0,108;NA;125,64;0,05;1,92;0,71;5;NA
"493";"Machaerium brasiliense";1;"Ipiranga";2016-08-08;60,84;0,11;0,106;6,7912;219,52;0,05;1,7;1,06;5,1;3,208939988
"494";"Casearia obliqua";1;"Massaranduba";2016-07-26;53,48;0,082;0,102;7,2046;122,38;0,048;2,35;1,61;5,1;8,423416619
"495";"Diatenopteryx sorbifolia";5;"Santa Terezinha";2017-05-11;NA;0,082;0,102;NA;80,66;0,042;1,46;0,97;5,1;NA
"496";"Myrcia splendens";5;"FURB";2016-04-25;50,46;0,11;0,1;7,8946;105,41;0,042;1,1;0,62;4,9;NA
"497";"Podocarpus lambertii";5;"Curitiba";2017-03-14;NA;0,14;0,098;9,311;483,54;0,036;1,04;0,5;5;NA
"498";"Vernonanthura montevidensis";1;"Santa Terezinha";2017-05-10;67,27;0,108;0,098;NA;86,84;0,02;1,72;0,57;5;NA
"499";"Podocarpus lambertii";1;"Curitiba";2017-03-14;NA;0,116;0,096;10,673;323,29;0,044;1,24;0,64;5,1;NA
"500";"Xylopia brasiliensis";2;"FURB";2016-04-25;57,8;0,078;0,09;7,063;64,56;0,036;1,97;0,43;4,3;9,691332187
"501";"Jacaranda puberula";2;"UA 803";2017-03-02;NA;0,106;0,086;4,5274;279,28;0,054;2,44;0,88;4,6;NA
"502";"Piptocarpha angustifolia";3;"Santa Terezinha";2017-05-11;NA;0,1;0,08;NA;382,13;0,046;1,32;0,49;5;NA
"503";"Vernonanthura montevidensis";3;"Santa Terezinha";2017-05-12;NA;0,106;0,08;NA;45,27;0,022;1,26;0,75;5,1;NA
"504";"Dicksonia sellowiana";4;"UA 803";2017-03-02;NA;0,068;0,079;5,5262;101,81;0,032;2,41;0,65;5,2;NA
"505";"Xylopia brasiliensis";4;"FURB";2016-04-27;62,9;0,096;0,078;5,9924;106,76;0,03;1,05;0,47;5,3;16,36901085
"506";"Machaerium brasiliense";2;"Ipiranga";2016-08-08;53,2;0,074;0,078;6,8252;161,26;0,034;NA;0,078;5,4;NA
"507";"Diatenopteryx sorbifolia";1;"Rodeio";2017-03-01;NA;0,048;0,074;4,593;74,82;0,018;1,1;0,71;4,5;NA
"508";"Podocarpus lambertii";4;"Curitiba";2017-03-14;NA;0,114;0,07;8,917;418,77;0,028;0,79;0,38;5,2;NA
"509";"Casearia obliqua";5;"Morro do Baú";2017-12-12;NA;0,062;0,068;7,4492;128,91;0,022;1,2;0,75;5,6;NA
"510";"Podocarpus lambertii";2;"Curitiba";2017-03-14;NA;0,11;0,064;5,762;NA;0,02;1,15;0,56;5,1;NA
"511";"Copaifera trapezifolia";3;"Braço Paula Ramos";2016-06-09;70,7;0,148;0,06;1,8062;215,41;0,016;1,9;0,96;5;NA
"512";"Diatenopteryx sorbifolia";4;"Santa Terezinha";2017-05-11;NA;0,07;0,058;NA;88,71;0,03;1,92;1,29;5,1;NA
"513";"Myrcia splendens";2;"FURB";2016-04-13;41,82;0,114;0,056;6,2;148,38;0,042;0,4;0,28;4,5;NA
"514";"Dicksonia sellowiana";5;"UA 803";2017-03-02;NA;0,008;0,056;3,746;33,71;0,024;3,42;0,52;4,9;NA
"515";"Vernonanthura montevidensis";4;"Santa Terezinha";2017-05-13;NA;0,18;0,056;NA;NA;0,02;3,52;1,8;5,1;NA
"516";"Diatenopteryx sorbifolia";2;"Santa Terezinha";2017-05-11;NA;0,088;0,054;NA;231,81;0,034;1,08;0,067;5;NA
"517";"Xylopia brasiliensis";5;"PMSF";2016-07-13;59,04;0,066;0,05;4,7884;174,21;0,02;1,25;0,54;6;NA
"518";"Machaerium brasiliense";3;"Serra da Leoa";2016-06-12;40,38;0,064;0,048;5,348;228,18;0,032;3,65;2,28;5,5;3,902827078
"519";"Xylopia brasiliensis";1;"FURB";2016-04-25;67,18;0,076;0,046;4,4334;86,68;0,018;0,85;0,46;5,4;NA
"520";"Dicksonia sellowiana";3;"UA 803";2017-03-02;NA;0,074;0,046;3,7272;70,31;0,022;3,91;0,79;5,3;NA
"521";"Myrcia splendens";1;"PMSF";2016-04-06;46,7;0,11;0,04;4,029;157,38;0,022;2;1,23;5,8;NA
"522";"Xylopia brasiliensis";3;"FURB";2016-04-25;61,77;0,088;0,04;3,7964;115,96;0,014;4,37;2,14;5,1;NA
"523";"Myrceugenia seriatoramosa";1;"Botuverá";2017-02-17;NA;0,108;0,04;NA;173,33;0,0175;1,58;1,28;5,2;NA
"524";"Jacaranda puberula";4;"UA 803";2017-03-14;NA;0,068;0,04;3,5124;122,3;0,024;2,43;0,75;5,1;NA
"525";"Podocarpus lambertii";3;"Curitiba";2017-03-14;NA;0,084;0,038;5,759;NA;0,014;0,77;0,36;3,5;NA
"526";"Piptadenia paniculata";2;"Tirolesa";2017-02-21;NA;0,082;0,034;2,4974;100,34;0,008;2,56;0,77;5;NA
"527";"Myrcia splendens";4;"FURB";2016-04-15;52,68;0,114;0,032;3,5296;271,15;0,03;0,66;0,42;5;NA
"528";"Myrceugenia seriatoramosa";3;"Botuverá";2017-02-17;NA;0,168;0,032;NA;209,46;0,016;1,39;1,08;5,1;NA
"529";"Piptadenia paniculata";3;"Tirolesa";2017-02-21;NA;0,092;0,03;2,0036;99,31;0,016;1,54;0,72;5;NA
"530";"Myrceugenia seriatoramosa";4;"Botuverá";2017-02-17;NA;0,15;0,026;NA;273,77;0,018;1,47;1,17;5,3;NA
"531";"Dicksonia sellowiana";1;"Faxinal do Bepe";2016-09-06;NA;0,112;0,022;1,3226;NA;0,008;2,34;0,64;5,1;NA
"532";"Piptadenia paniculata";1;"Tirolesa";2017-02-21;NA;0,086;0,022;2,0654;112,93;0,016;2,96;1,09;5,1;NA
"533";"Copaifera trapezifolia";2;"PMSF";2016-06-06;54,96;0,07;0,02;2,025;194,63;0,01;1,25;0,77;5,2;NA
"534";"Copaifera trapezifolia";1;"PMSF";2016-05-23;62,04;0,08;0,018;1,8354;174,08;0,006;3,36;2,11;4,9;NA
"535";"Copaifera trapezifolia";5;"Braço Paula Ramos";2016-06-09;NA;0,082;0,018;1,6598;NA;0,012;1,46;0,9;5,1;16,23650348
"536";"Copaifera trapezifolia";4;"Braço Paula Ramos";2016-06-09;52,76;0,074;0,014;1,23225;178,51;0,0075;1,24;0,67;5;16,02877197
"537";"Myrcia splendens";3;"FURB";2016-04-14;55,24;0,128;0,007;5,7614;144,71;0,016;0,92;0,58;5,3;NA
"538";"Abarema langsdorffii";1;"Ipiranga";2016-08-08;NA;0,076;0,0039;0,283921053;NA;0,00158;2,51;0,72;NA;1,653376093
"539";"Albizia edwallii";2;"Santa Terezinha";2017-05-11;NA;0,087;0,0017;NA;NA;0,0026;2,62;0,84;5,2;NA
"540";"Albizia edwallii";3;"Santa Terezinha";2017-05-11;NA;0,07;0,0014;NA;NA;0,0028;3,4;1,26;5,2;NA
"541";"Alchornea triplinervia";3;"PMSF";2016-06-09;44,86;0,072;NA;80,1422;125,25;0,292;3,78;1,14;5,3;NA
"542";"Alchornea triplinervia";5;"PMSF";2016-06-09;45,06;0,188;NA;43,714;433,02;0,414;1,09;0,48;4,9;NA
"543";"Posoqueria latifolia";2;"Braço Paula Ramos";2016-06-09;79,59;0,408;NA;79,6456;666,56;1,206;1,89;0,88;5,5;NA
"544";"Ocotea silvestris";2;"PMSF";2016-09-21;65,5;0,136;NA;20,333;228,67;0,136;1,7;0,93;5;4,605223605
"545";"Alsophila setosa";5;"UA 803";2017-03-02;NA;0,0847;NA;8,5642;15,5;0,244;4,07;0,65;4,8;NA
